央视频道,#genre#
CCTV1-综合,http://iptv.8t.cx:8180/rtp/239.3.1.129:8008     
CCTV2-财经,http://iptv.8t.cx:8180/rtp/239.3.1.60:8084      
CCTV3-综艺,http://iptv.8t.cx:8180/rtp/239.3.1.172:8001      
CCTV4-中文国际,http://iptv.8t.cx:8180/rtp/239.3.1.105:8092  
CCTV5-体育,http://iptv.8t.cx:8180/rtp/239.3.1.173:8001      
CCTV5+体育赛事,http://iptv.8t.cx:8180/rtp/239.3.1.130:8004  
CCTV6-电影,http://iptv.8t.cx:8180/rtp/239.3.1.174:8001      
CCTV7-国防军事,http://iptv.8t.cx:8180/rtp/239.3.1.61:8104   
CCTV8-电视剧,http://iptv.8t.cx:8180/rtp/239.3.1.175:8001  
CCTV9-纪录,http://iptv.8t.cx:8180/rtp/239.3.1.62:8112       
CCTV10-科教,http://iptv.8t.cx:8180/rtp/239.3.1.63:8116       
CCTV11-戏曲,http://iptv.8t.cx:8180/rtp/239.3.1.152:8120      
CCTV12-社会与法,http://iptv.8t.cx:8180/rtp/239.3.1.64:8124   
CCTV13-新闻,http://iptv.8t.cx:8180/rtp/239.3.1.124:8128      
CCTV14-少儿,http://iptv.8t.cx:8180/rtp/239.3.1.65:8132       
CCTV15-音乐,http://iptv.8t.cx:8180/rtp/239.3.1.153:8136      
CCTV17-农业农村,http://iptv.8t.cx:8180/rtp/239.3.1.151:8144   

CCTV1-综合,http://iptv.8t.cx:8180/rtp/239.3.1.1:8000
CCTV2-财经,http://iptv.8t.cx:8180/rtp/239.3.1.2:8004
CCTV3-综艺,http://iptv.8t.cx:8180/rtp/239.3.1.107:8001
CCTV4-中文国际,http://iptv.8t.cx:8180/rtp/239.3.1.4:8216
CCTV5-体育,http://iptv.8t.cx:8180/rtp/239.3.1.108:8001
CCTV6-电影,http://iptv.8t.cx:8180/rtp/239.3.1.109:8001
CCTV7-国防军事,http://iptv.8t.cx:8180/rtp/239.3.1.7:8024
CCTV8-电视剧,http://iptv.8t.cx:8180/rtp/239.3.1.110:8001
CCTV9-纪录,http://iptv.8t.cx:8180/rtp/239.3.1.9:8032
CCTV10-科教,http://iptv.8t.cx:8180/rtp/239.3.1.10:8228
CCTV11-戏曲,http://iptv.8t.cx:8180/rtp/239.3.1.11:8040
CCTV12-社会与法,http://iptv.8t.cx:8180/rtp/239.3.1.12:8232
CCTV13-新闻,http://iptv.8t.cx:8180/rtp/239.3.1.13:8048
CCTV14-少儿,http://iptv.8t.cx:8180/rtp/239.3.1.14:8236
CCTV15-音乐,http://iptv.8t.cx:8180/rtp/239.3.1.15:8052
CCTV17,http://iptv.8t.cx:8180/rtp/239.3.1.150:8064
爱上4K,http://iptv.8t.cx:8180/rtp/239.3.1.236:2000
4K超清,http://iptv.8t.cx:8180/rtp/239.3.1.249:8001
CCTV4欧洲,http://iptv.8t.cx:8180/rtp/239.3.1.213:4220 $高清
CCTV4美洲,http://iptv.8t.cx:8180/rtp/239.3.1.214:4220 $高清


SA国际传媒,#genre#
04年极品白丝嫩足,https://t21.cdn2020.com/video/m3u8/2023/02/01/18ac5bce/index.m3u8
18岁小嫩妹辍学做外围-田伯光,https://t21.cdn2020.com/video/m3u8/2023/04/13/d7cb73d8/index.m3u8
18岁学妹背着男友偷情-唐伯虎,https://t21.cdn2020.com/video/m3u8/2023/03/07/7a58b113/index.m3u8
19岁美穴新人女体私密大保健初体验,https://t21.cdn2020.com/video/m3u8/2023/04/21/8412f611/index.m3u8
19岁女大生的AV初体验,https://t21.cdn2020.com/video/m3u8/2023/03/20/f88b8a90/index.m3u8
3000约操18岁大一新生-八戒,https://t21.cdn2020.com/video/m3u8/2023/03/22/8b0e62d5/index.m3u8
3P大战极品姐妹花-91渣男,https://t21.cdn2020.com/video/m3u8/2023/02/11/5baaa4c3/index.m3u8
3P实战系列我的巨乳女特助,https://t21.cdn2020.com/video/m3u8/2023/04/13/4bc61f2e/index.m3u8
3千网约巨乳反差外围-杏吧老王,https://t21.cdn2020.com/video/m3u8/2023/04/24/68a8eb38/index.m3u8
91BCM-044天堂般的高潮,https://t21.cdn2020.com/video/m3u8/2023/03/31/d85b3008/index.m3u8
91KCM-094爆操街头搭讪的黑丝美女,https://t21.cdn2020.com/video/m3u8/2023/03/31/ae034a2d/index.m3u8
91KCM-097淫乱理疗师的出水按摩,https://t21.cdn2020.com/video/m3u8/2023/04/09/23df007f/index.m3u8
BLX-0037闺蜜蹭饭也蹭炮-舒可芯,https://t21.cdn2020.com/video/m3u8/2023/02/07/a10b630b/index.m3u8
BLX-0038精液上头的痴女-艾秋,https://t21.cdn2020.com/video/m3u8/2023/02/11/440fec7b/index.m3u8
BLX-0039替岳父止痒的好媳妇-韩棠,https://t21.cdn2020.com/video/m3u8/2023/02/15/61b152a3/index.m3u8
BLX-0040对面的风骚女邻居,https://t21.cdn2020.com/video/m3u8/2023/02/19/1fd93d8a/index.m3u8
BLX-0042上门拜访骚气家教,https://t21.cdn2020.com/video/m3u8/2023/02/23/f7f16af9/index.m3u8
BLX-0044对爸爸鸡巴的渴望,https://t21.cdn2020.com/video/m3u8/2023/03/06/1dd8a0c6/index.m3u8
BLX-0045青梅竹马感情升温-艾秋,https://t21.cdn2020.com/video/m3u8/2023/03/10/2d11caeb/index.m3u8
BLX-0046儿子的性爱指导员-凌薇,https://t21.cdn2020.com/video/m3u8/2023/03/14/a4f7f768/index.m3u8
cola的毕业洗礼,https://t21.cdn2020.com/video/m3u8/2023/01/31/de3c09bd/index.m3u8
COS王者露娜理想中的女友-紫萱,https://t21.cdn2020.com/video/m3u8/2023/03/20/5cf1832c/index.m3u8
E奶蝶在来宾区上演活春宫,https://t21.cdn2020.com/video/m3u8/2023/04/13/2a26a501/index.m3u8
E奶苏念谨与神鸟小麦聊AV的工作然后就打炮了,https://t21.cdn2020.com/video/m3u8/2023/03/20/26202a01/index.m3u8
FSOG-063内射超嫩学生妹,https://t21.cdn2020.com/video/m3u8/2023/03/03/d4a56bec/index.m3u8
FSOG-064网袜白虎小学妹,https://t21.cdn2020.com/video/m3u8/2023/03/03/b233b478/index.m3u8
FSOG-065零三年的小白虎-唐伯虎,https://t21.cdn2020.com/video/m3u8/2023/03/03/42c5f64b/index.m3u8
FSOG-066骑射JK双马尾,https://t21.cdn2020.com/video/m3u8/2023/03/03/60dce235/index.m3u8
FSOG-067JK学妹的毕业洗礼,https://t21.cdn2020.com/video/m3u8/2023/03/06/a800ea05/index.m3u8
FSOG-070啦啦队嫩模被潜规则,https://t21.cdn2020.com/video/m3u8/2023/02/17/7a7e5919/index.m3u8
FSOG-071榜一老板线下输出性感女主播,https://t21.cdn2020.com/video/m3u8/2023/02/17/024eb523/index.m3u8
FSOG-072OL制服的诱惑,https://t21.cdn2020.com/video/m3u8/2023/03/15/d767cfb4/index.m3u8
FSOG-073上门服务的特殊治疗,https://t21.cdn2020.com/video/m3u8/2023/02/17/d477b576/index.m3u8
FSOG-074性欲超强萝莉女友,https://t21.cdn2020.com/video/m3u8/2023/02/17/b3eef68b/index.m3u8
FSOG-075足球宝贝儿性感蜜桃臀诱惑,https://t21.cdn2020.com/video/m3u8/2023/03/15/e2e60c2f/index.m3u8
FSOG-077萝莉妹妹酒后失身,https://t21.cdn2020.com/video/m3u8/2023/02/17/a7a670e5/index.m3u8
FSOG-079揪着双马尾疯狂后入,https://t21.cdn2020.com/video/m3u8/2023/02/16/ba368fa6/index.m3u8
FSOG-080美腿蜜穴小恶魔-冉冉学姐,https://t21.cdn2020.com/video/m3u8/2023/02/16/e6c53daa/index.m3u8
FSOG-081诱骗路人大学生意外中出,https://t21.cdn2020.com/video/m3u8/2023/02/19/311c1d6d/index.m3u8
FSOG-082COS安其拉被摄影师内射,https://t21.cdn2020.com/video/m3u8/2023/02/19/7098e6f1/index.m3u8
FSOG-083绿帽老公爱看别人操老婆,https://t21.cdn2020.com/video/m3u8/2023/02/26/dbf22d21/index.m3u8
FSOG-084十八岁舞蹈生体验,https://t21.cdn2020.com/video/m3u8/2023/03/07/568a14c8/index.m3u8
FSOG-085JK小母狗勾引老师,https://t21.cdn2020.com/video/m3u8/2023/03/10/26125790/index.m3u8
FSOG-086大神偷拍一线网红,https://t21.cdn2020.com/video/m3u8/2023/03/14/b0a5508a/index.m3u8
FSOG-088疯狂输出新人模特,https://t21.cdn2020.com/video/m3u8/2023/04/06/6fc3e1ef/index.m3u8
FSOG-091性感身材必灌满,https://t21.cdn2020.com/video/m3u8/2023/04/14/7ba9b3fe/index.m3u8
FSOG-092兄弟和妻子的故事,https://t21.cdn2020.com/video/m3u8/2023/04/20/4f419c01/index.m3u8
JK少女的肉体补习,https://t21.cdn2020.com/video/m3u8/2023/02/08/fd3845eb/index.m3u8
MAD-046极乐修仙者,https://t21.cdn2020.com/video/m3u8/2023/04/11/75a9da10/index.m3u8
MCY-0130和寂寞小姨的性爱切磋-林嫣,https://t21.cdn2020.com/video/m3u8/2023/01/19/871f7915/index.m3u8
MCY-0133淫荡女上司的骚穴疼爱-李蓉蓉,https://t21.cdn2020.com/video/m3u8/2023/02/21/feff1884/index.m3u8
MCY-0134把保姆的女儿按在沙发强奸-管明美,https://t21.cdn2020.com/video/m3u8/2023/01/20/701e7558/index.m3u8
MCY-0135羞涩反差女儿忘情吹箫-雪千夏,https://t21.cdn2020.com/video/m3u8/2023/02/17/fcaf7d93/index.m3u8
MCY-0136对家教老师的淫行计划-雪千夏,https://t21.cdn2020.com/video/m3u8/2023/02/26/8f99f8ee/index.m3u8
MCY-0137巨乳姪女的嫩穴抚慰,https://t21.cdn2020.com/video/m3u8/2023/02/19/55cd1256/index.m3u8
MCY-0138将计就计迷奸极品妹妹-凌薇,https://t21.cdn2020.com/video/m3u8/2023/02/23/161c098a/index.m3u8
MCY-0139少妇跪求皮鞭伺候窒息性爱-秦可欣,https://t21.cdn2020.com/video/m3u8/2023/02/05/be9b9157/index.m3u8
MCY-0140抖音网红妹妹的抖胸变装-秦可欣,https://t21.cdn2020.com/video/m3u8/2023/02/07/1948f108/index.m3u8
MCY-0146丧伦痴女骑上爸爸大鸡巴-管明美,https://t21.cdn2020.com/video/m3u8/2023/02/05/791f6e32/index.m3u8
MCY-0147强欲表哥猛操巨乳表妹-沈娜娜,https://t21.cdn2020.com/video/m3u8/2023/02/07/37e7ae13/index.m3u8
MCY-0148开发M属性骚气小妹,https://t21.cdn2020.com/video/m3u8/2023/02/11/a582cbf1/index.m3u8
MCY-0149沉迷于肉棒的饥渴少女-邓紫晴,https://t21.cdn2020.com/video/m3u8/2023/02/13/2f1451c5/index.m3u8
MCY-0150色公公诱奸漂亮儿媳-管明美,https://t21.cdn2020.com/video/m3u8/2023/02/13/16c27a35/index.m3u8
MCY-0151顶流性感女画家的秘密-沈娜娜,https://t21.cdn2020.com/video/m3u8/2023/03/01/a5da3f71/index.m3u8
